ablation_name,horizon,RMSE,MAE,R2,CVRMSE,NRMSE,sMAPE,MBE,MedAE,MASE,precision,recall,f1,specificity,roc_auc,pr_auc
full,1,4081.6709091151333,1264.8024656076166,-0.09238066773463816,3.170355751129849,0.13802485151884025,152.33642294186325,-1263.3061755312772,154.64815224445476,26.954893972853228,1.0,0.1,0.18181818181818182,1.0,0.9053947368421053,0.9190424884241024
full,2,4076.680713473867,1263.4774955934788,-0.08971124087957061,3.1664797170734964,0.13785610420241706,154.454200165233,-1261.64611198297,156.38654955136184,26.92665681549511,1.0,0.08080808080808081,0.14953271028037382,1.0,0.9134199134199135,0.9368249481166415
full,3,4080.2980202993926,1266.5973821975902,-0.09164593677946953,3.169289387366194,0.13797842622411075,153.62626770593963,-1263.5862264887628,158.76121891497783,26.993146417553838,0.8333333333333334,0.050505050505050504,0.09523809523809523,0.987012987012987,0.8728846910665092,0.874569676677496
full,4,4088.0842246484804,1271.0182271212288,-0.09581616558331607,3.1753371649277007,0.1382417227326015,158.40733477598056,-1267.5265013794801,161.46512533507268,27.087361450673544,0.75,0.030303030303030304,0.05825242718446602,0.987012987012987,0.8433687524596616,0.8512833487279529
full,5,4084.1700548664235,1268.5601108132337,-0.09371877378974025,3.172296912306714,0.1381093620609507,156.25889619509095,-1266.1304010487756,162.70842117071874,27.034975195699634,1.0,0.050505050505050504,0.09615384615384616,1.0,0.8048012593467138,0.8481243182587141
full,6,4089.4355583100637,1270.2264941780597,-0.09654073872547331,3.1763867861590764,0.13828741912315956,157.64646528020626,-1268.6019618427447,153.73131599469667,27.070488398858544,1.0,0.041237113402061855,0.07920792079207921,1.0,0.8792900952629519,0.8958266357983931
no_climate,1,4087.710927264236,1269.85725590272,-0.09561604904503107,3.1750472136956263,0.13822909939348865,154.83219005711908,-1267.9161893963008,158.52254355199,27.062619360939077,1.0,0.07,0.1308411214953271,1.0,0.9222368421052631,0.9310218205621564
no_climate,2,4087.4634688938654,1269.4954242306342,-0.09548340211354511,3.1748550053855644,0.1382207313977369,154.31614654019972,-1267.5186086966498,158.00583804217555,27.054908169174116,1.0,0.0707070707070707,0.1320754716981132,1.0,0.9311294765840221,0.9381561861093739
no_climate,3,4090.7211889587834,1271.7163840996257,-0.09723030478325967,3.1773853738972244,0.1383308937156362,156.56698665332297,-1270.0235133149172,159.9358764739103,27.10224025415536,1.0,0.030303030303030304,0.058823529411764705,1.0,0.9307359307359309,0.9419812632751929
no_climate,4,4092.148346345554,1272.914628665999,-0.09799603455006012,3.178493889681486,0.13837915414397284,158.01538676051854,-1271.4013259453925,160.96092476910104,27.12777669649984,1.0,0.030303030303030304,0.058823529411764705,1.0,0.9163059163059164,0.9298434689392687
no_climate,5,4090.098486710819,1271.8507600079347,-0.09689628261811145,3.1769017024555444,0.13830983655859697,157.37670739971955,-1270.4572102915147,159.2972435900598,27.105104012298998,1.0,0.04040404040404041,0.07766990291262135,1.0,0.9216843762298308,0.9364888783572481
no_climate,6,4091.304496928547,1273.2062054926778,-0.09754324168767048,3.1778384466259664,0.13835061872475848,160.5358965557258,-1272.1529934573844,161.008293564261,27.13399064900371,1.0,0.030927835051546393,0.06,1.0,0.9274435599634608,0.9360137000267019
no_population_density,1,4092.6068399725445,1265.7211848299196,-0.09824209228995051,3.1788500153808754,0.138394658459778,150.41382828339104,-1263.8225585184464,148.2667891806046,26.97447329840119,1.0,0.04,0.07692307692307693,1.0,0.8707894736842106,0.8961233603769704
no_population_density,2,4089.226397409024,1264.4577046269692,-0.09642857283835338,3.1762243246377317,0.13828034618588647,152.25352769407564,-1262.2871427718017,139.43857391103242,26.94754658388774,1.0,0.06060606060606061,0.11428571428571428,1.0,0.8976780794962613,0.9230246258765361
no_population_density,3,4089.6592258225264,1267.5802531103184,-0.09666069036329006,3.1765605153989553,0.1382949826126923,153.73945853277633,-1263.5308324752693,154.3048741866894,27.014092914704175,0.8,0.04040404040404041,0.07692307692307693,0.987012987012987,0.8530762167125804,0.8523614666697116
no_population_density,4,4095.32090453123,1272.380630118025,-0.09969920185398595,3.1809581104169915,0.1384864366472082,158.47516366418213,-1268.0707216446901,158.66373601743956,27.116396362705675,0.6666666666666666,0.020202020202020204,0.0392156862745098,0.987012987012987,0.8383838383838385,0.8413484882559223
no_population_density,5,4093.7185201455804,1270.3254004533594,-0.09883880720709382,3.179713490587103,0.13843225078268603,157.23600439662306,-1267.1149607021239,158.7717259169816,27.07259624434149,1.0,0.04040404040404041,0.07766990291262135,1.0,0.7797455070182342,0.8258576121611105
no_population_density,6,4097.335464977142,1271.3211619386382,-0.10078139075484582,3.1825228797082716,0.13855456056327445,157.3406448492291,-1269.3041043514936,152.8911742230182,27.093817459501793,1.0,0.020618556701030927,0.04040404040404041,1.0,0.8490147461829571,0.8760063937258555
no_serotype,1,4079.7352393019537,1263.5837924753898,-0.09134482386172893,3.16885225855018,0.1379593953503978,151.5710919493757,-1261.9843704197372,152.63829769987325,26.928922166219408,1.0,0.1,0.18181818181818182,1.0,0.9078947368421053,0.9212667126747401
no_serotype,2,4074.8596584540282,1262.3873558962148,-0.0887379093663776,3.1650652492283853,0.13779452382165694,153.83568343823308,-1260.4676579032675,153.99017490121105,26.903424254874484,1.0,0.09090909090909091,0.16666666666666666,1.0,0.9182736455463728,0.9395543804951533
no_serotype,3,4078.486933965685,1265.590790687682,-0.09067707310519957,3.167882662497454,0.13791718294216473,153.0137407138303,-1262.4837235390412,158.67404380925416,26.9716943978422,0.8333333333333334,0.050505050505050504,0.09523809523809523,0.987012987012987,0.8821986094713368,0.8825203650048424
no_serotype,4,4086.4788387120466,1270.097400240553,-0.0949556830956535,3.1740902137036344,0.1381874353683233,157.60395794272532,-1266.5816108657043,160.31076286451724,27.067737207670472,0.75,0.030303030303030304,0.05825242718446602,0.987012987012987,0.8575364029909485,0.8624560271369475
no_serotype,5,4084.6181582039044,1268.794660357151,-0.09395878628302068,3.1726449675577904,0.13812451502109815,156.42849012870252,-1266.3403080527316,162.97525322646663,27.03997380873178,1.0,0.050505050505050504,0.09615384615384616,1.0,0.799685163321527,0.8444101273490264
no_serotype,6,4091.0611464191325,1271.104512972533,-0.09741268197792996,3.1776494290142474,0.13834238963949488,157.81193503067675,-1269.344373386501,154.3060998186563,27.089200335429467,1.0,0.041237113402061855,0.07920792079207921,1.0,0.8574970638131281,0.8715287103049341
no_temporal,1,4107.356463845401,1283.320056979386,-0.10617241549903023,3.1903064889461215,0.13889342837296806,176.66929032953382,-1282.9938236142334,172.22004910200434,27.349532444576063,1.0,0.01,0.019801980198019802,1.0,0.7194736842105263,0.743760972595388
no_temporal,2,4108.782480178826,1284.2906878584622,-0.10694064381082513,3.191414118440156,0.13894165021570526,174.46986333370452,-1283.6993072613886,172.6300073693621,27.370218087705094,0.0,0.0,0.0,1.0,0.5454545454545455,0.6112383915438278
no_temporal,3,4108.533599666762,1284.3263705241482,-0.10680654685543667,3.1912208055101488,0.13893323412913475,174.4884538924454,-1283.5561913652293,172.99876355578238,27.37097854042114,0.0,0.0,0.0,1.0,0.48694739603830517,0.5885131533094105
no_temporal,4,4107.108775618907,1283.6217755778541,-0.10603900724725501,3.190114102099941,0.13888505260445413,175.82164939045813,-1282.789423342344,171.44441660080543,27.35596253390028,0.0,0.0,0.0,0.987012987012987,0.6455463728191001,0.7102781446127817
no_temporal,5,4104.819283385943,1282.5651163541368,-0.10480623643292852,3.1883357850749854,0.13880763165785046,176.86822595405886,-1282.1425836503174,172.01673656159298,27.333443493880022,0.0,0.0,0.0,1.0,0.7445887445887446,0.7865245083327107
no_temporal,6,4105.772222286242,1282.609127195119,-0.10531926025843852,3.189075961191657,0.13883985602212406,183.02557900429605,-1282.3146623839714,169.62246801246675,27.334381432874128,0.0,0.0,0.0,1.0,0.8304841445908913,0.8504069552961949
