ablation,horizon,runs,RMSE_mean,RMSE_std,MAE_mean,MAE_std,R2_mean,R2_std,precision_mean,recall_mean,f1_mean
full,1,1,4109.831926556242,,1286.251685627011,,-0.1075061754295461,,0.0,0.0,0.0
full,2,1,4109.007985708059,,1285.8733070362412,,-0.10706215332708502,,0.0,0.0,0.0
full,3,1,4110.385070740158,,1286.1896833362882,,-0.10780431503053722,,0.0,0.0,0.0
full,4,1,4110.268203463852,,1286.289542958979,,-0.10774132130598457,,0.0,0.0,0.0
full,5,1,4110.337125946835,,1286.1766335596224,,-0.10777847164202425,,0.0,0.0,0.0
full,6,1,4110.374016499886,,1286.3142093013141,,-0.10779835650431902,,0.0,0.0,0.0
no_climate,1,1,4110.99216093641,,1286.610808392423,,-0.1081315772179936,,0.0,0.0,0.0
no_climate,2,1,4111.00044484752,,1286.5610834295167,,-0.10813604313394465,,0.0,0.0,0.0
no_climate,3,1,4111.028344866793,,1286.542906307756,,-0.10815108430082687,,0.0,0.0,0.0
no_climate,4,1,4110.942667124862,,1286.4540412233907,,-0.10810489493636788,,0.0,0.0,0.0
no_climate,5,1,4110.939757101228,,1286.3791281676886,,-0.10810332614275886,,0.0,0.0,0.0
no_climate,6,1,4110.51744835939,,1286.3875754212759,,-0.10787567129362685,,0.0,0.0,0.0
no_population_density,1,1,4109.905050052312,,1286.342291952788,,-0.10754558601633746,,0.0,0.0,0.0
no_population_density,2,1,4109.2051893441285,,1285.9581074459895,,-0.10716841835338209,,0.0,0.0,0.0
no_population_density,3,1,4110.793643076718,,1286.3650207626697,,-0.1080245575065002,,0.0,0.0,0.0
no_population_density,4,1,4110.253694601545,,1286.2718528296627,,-0.10773350087328315,,0.0,0.0,0.0
no_population_density,5,1,4110.445604691357,,1286.235056197806,,-0.10783694470634053,,0.0,0.0,0.0
no_population_density,6,1,4110.396916052152,,1286.315215199331,,-0.10781069998300352,,0.0,0.0,0.0
no_serotype,1,1,3935.440449765066,,1233.0481088571566,,-0.015511214201518131,,0.9,0.18,0.3
no_serotype,2,1,4051.56997928354,,1259.7965885532426,,-0.07632820833869824,,1.0,0.09090909090909091,0.16666666666666666
no_serotype,3,1,4052.0825173527733,,1254.3245521428232,,-0.07660054428649765,,1.0,0.1717171717171717,0.29310344827586204
no_serotype,4,1,4062.7987300689815,,1260.8955341423543,,-0.08230246964568799,,0.9166666666666666,0.1111111111111111,0.1981981981981982
no_serotype,5,1,4083.2253837962257,,1269.2910914357262,,-0.09321287664038858,,0.9230769230769231,0.12121212121212122,0.21428571428571427
no_serotype,6,1,4087.1551821221487,,1263.7911425979848,,-0.09531816012025685,,1.0,0.10309278350515463,0.18691588785046728
no_temporal,1,1,4110.153113827324,,1286.4147558889604,,-0.10767928751410616,,0.0,0.0,0.0
no_temporal,2,1,4110.6658854321895,,1286.5250207148279,,-0.10795568690869528,,0.0,0.0,0.0
no_temporal,3,1,4111.166694614051,,1286.6298506289668,,-0.10822567147917361,,0.0,0.0,0.0
no_temporal,4,1,4110.815460749266,,1286.559188682689,,-0.10803631902178057,,0.0,0.0,0.0
no_temporal,5,1,4110.919480490599,,1286.592788302494,,-0.10809239505371515,,0.0,0.0,0.0
no_temporal,6,1,4110.512141326668,,1286.318206250805,,-0.10787281056929343,,0.0,0.0,0.0
