ablation,horizon,RMSE_mean,RMSE_std,MAE_mean,MAE_std,R2_mean,R2_std,F1_mean,F1_std,runs
full,1,4009.8194473068233,,1250.743408203125,,-0.0542598962783813,,0.2201834862385321,,1
full,2,4057.7726648988114,,1260.844482421875,,-0.0796263217926025,,0.2242990654205607,,1
full,3,4105.483162795824,,1281.6429443359375,,-0.1051636934280395,,0.0416666666666666,,1
full,4,4111.4756475017575,,1286.53076171875,,-0.1083922386169433,,0.0,,1
full,5,4110.80503064789,,1286.583984375,,-0.1080306768417358,,0.0,,1
full,6,4104.886600138912,,1284.2542724609375,,-0.1048424243927002,,0.0,,1
no_climate,1,4099.347265114289,,1279.088134765625,,-0.1018627882003784,,0.0404040404040404,,1
no_climate,2,4009.5828960130007,,1245.601806640625,,-0.0541355609893798,,0.2407407407407407,,1
no_climate,3,4111.53499316253,,1286.9083251953125,,-0.1084243059158325,,0.0,,1
no_climate,4,4109.303347284063,,1283.12451171875,,-0.1072213649749755,,0.0,,1
no_climate,5,4096.9488647040735,,1267.735107421875,,-0.1005737781524658,,0.1782178217821782,,1
no_climate,6,4110.466153613237,,1286.3145751953125,,-0.107848048210144,,0.0,,1
no_population_density,1,4007.5959127636606,,1252.4686279296875,,-0.0530910491943359,,0.2201834862385321,,1
no_population_density,2,3948.967966443891,,1225.9864501953125,,-0.0225045680999755,,0.3478260869565217,,1
no_population_density,3,4110.531109236372,,1286.018310546875,,-0.1078830957412719,,0.0,,1
no_population_density,4,4111.397815828578,,1286.44091796875,,-0.108350396156311,,0.0,,1
no_population_density,5,4090.0326404565526,,1277.6053466796875,,-0.0968610048294067,,0.0631578947368421,,1
no_population_density,6,4108.383623762513,,1285.7362060546875,,-0.1067258119583129,,0.0,,1
no_serotype,1,3729.256360187645,,1099.9561767578125,,0.0881098508834838,,0.6293706293706294,,1
no_serotype,2,3661.1928384066314,,1069.09228515625,,0.1210923194885253,,0.5942028985507246,,1
no_serotype,3,3925.9192554101264,,1166.19140625,,-0.0106034278869628,,0.4715447154471545,,1
no_serotype,4,4079.1041908732855,,1259.067626953125,,-0.0910072326660156,,0.2135922330097087,,1
no_serotype,5,4071.361074628484,,1267.3243408203125,,-0.0868692398071289,,0.1941747572815534,,1
no_serotype,6,4105.100242381421,,1275.2540283203125,,-0.1049575805664062,,0.1020408163265306,,1
no_temporal,1,3970.423529045736,,1245.5606689453125,,-0.033645749092102,,0.2018348623853211,,1
no_temporal,2,4103.989035073071,,1282.9383544921875,,-0.1043593883514404,,0.0612244897959183,,1
no_temporal,3,4105.638074648081,,1282.649169921875,,-0.1052471399307251,,0.0416666666666666,,1
no_temporal,4,4111.754126890372,,1286.86181640625,,-0.1085424423217773,,0.0,,1
no_temporal,5,4111.722023678157,,1287.2230224609375,,-0.1085251569747924,,0.0,,1
no_temporal,6,4111.431137694027,,1287.030517578125,,-0.1083682775497436,,0.0,,1
